camis,name,boro,cuisine,action,score,grade,rating,review_count,location.address1,coordinates.latitude,coordinates.longitude,ratings1
50042343,Angela's,BROOKLYN,Caribbean,reclosed,11,A,4.5,136,417 Nostrand Ave,40.68312615,-73.9502215,*****
41567437,Angela's Bakery,BROOKLYN,Bakery,violations,2,A,3,88,717 Knickerbocker Ave,40.69427,-73.909891,***
41387576,Angela's Cake,MANHATTAN,Bakery,violations,21,B,2.5,41,182 Audubon Ave,40.84418379,-73.93591707,***
41368444,Angela's Sandwich Shop,MANHATTAN,Delicatessen,violations,22,B,4,148,1428 6th Ave,40.765037,-73.976437,****
50064761,Katz's Delicatessen,MANHATTAN,Other,violations,5,A,4,8790,205 E Houston St,40.72222,-73.98751,****
40730301,Angelica's Bakery,BRONX,Bakery,violations,11,A,4,10,4315 Katonah Ave,40.8991538,-73.8677585,****
50055382,Starliner Cafe and Market,BROOKLYN,Latin,violations,5,A,4,98,1206 Nostrand Ave,40.657932,-73.950584,****
40362274,Angelika Film Center & Cafe - New York,MANHATTAN,American,violations,30,C,3.5,431,18 W Houston St,40.72589,-73.99699,****
41691451,Angelina's Ristorante,MANHATTAN,American,violations,10,A,3.5,150,399 Ellis St,40.51364927,-74.25114002,****
41387409,LaGuardia Airport,QUEENS,American,violations,31,C,2.5,2062,94-00 Grand Central Pkwy,40.771864,-73.872365,***
50058620,Angelina's Kitchen,STATEN ISLAND,Italian,violations,13,A,3.5,128,280 Marsh Ave,40.57858959,-74.16420278,****
50035523,Angelina's Metro Market,QUEENS,American,violations,10,A,2.5,8,Arrivals Level Terminal 8,40.64131583,-73.77813801,***
41396345,Angelina's Panini Bar,QUEENS,Sandwiches,no violations,0,B,2,19,Laguardia Airport,40.77470039,-73.87231951,**
41431222,Angelina's Ristorante,STATEN ISLAND,Italian,violations,21,B,3.5,150,399 Ellis St,40.51364927,-74.25114002,****
41648717,The Madonna Multinational Home for Funerals,BROOKLYN,Spanish,violations,8,A,1,1,109 Howe Ave,40.860713,-74.131484,**
40969851,Angelo & Al's Pizzeria,QUEENS,Pizza/Italian,violations,29,C,3.5,16,6822 Fresh Meadow Ln,40.7332448,-73.7947239,****
